ticketnumber,leg1flightnum,leg1uniquecarrier,leg1origin,leg1dest,leg1month,leg1dayofmonth,leg1dayofweek,leg1deptime,leg1arrtime,leg2flightnum,leg2uniquecarrier,leg2origin,leg2dest,leg2month,leg2dayofmonth,leg2dayofweek,leg2deptime,leg2arrtime
3481673404472,3476,MQ,AMA,DFW,3,31,4,543,643,3541,MQ,DFW,BTR,3,31,4,1505,1629
2111330109339,3450,MQ,HSV,DFW,3,31,4,805,1011,3541,MQ,DFW,BTR,3,31,4,1505,1629
4769794628370,3362,MQ,LRD,DFW,3,31,4,822,943,3541,MQ,DFW,BTR,3,31,4,1505,1629
3940460372381,3504,MQ,BNA,DFW,3,31,4,643,905,3541,MQ,DFW,BTR,3,31,4,1505,1629
4457603504113,3473,MQ,SHV,DFW,3,31,4,653,751,3541,MQ,DFW,BTR,3,31,4,1505,1629
3258107075213,3604,MQ,FWA,DFW,3,31,4,738,919,3541,MQ,DFW,BTR,3,31,4,1505,1629
3750511777360,3390,MQ,LBB,DFW,3,31,4,839,935,3541,MQ,DFW,BTR,3,31,4,1505,1629
6878571167811,3226,MQ,SPS,DFW,3,31,4,956,1044,3541,MQ,DFW,BTR,3,31,4,1505,1629
1891190835904,3742,MQ,JAN,DFW,3,31,4,1240,1403,3541,MQ,DFW,BTR,3,31,4,1505,1629
6078361347885,3480,MQ,MAF,DFW,3,31,4,1346,1444,3541,MQ,DFW,BTR,3,31,4,1505,1629
5996796655012,3702,MQ,ICT,DFW,3,31,4,540,654,3541,MQ,DFW,BTR,3,31,4,1505,1629
2364288417614,3732,MQ,LIT,DFW,3,31,4,930,1032,3541,MQ,DFW,BTR,3,31,4,1505,1629
5238501015872,3266,MQ,ACT,DFW,3,31,4,1257,1333,3541,MQ,DFW,BTR,3,31,4,1505,1629
7435885284369,3680,MQ,FSM,DFW,3,31,4,749,851,3541,MQ,DFW,BTR,3,31,4,1505,1629
3727507758772,3706,MQ,DSM,DFW,3,31,4,1020,1214,3541,MQ,DFW,BTR,3,31,4,1505,1629
8984583550322,3610,MQ,IAH,DFW,3,31,4,1223,1338,3541,MQ,DFW,BTR,3,31,4,1505,1629
3635257449534,3746,MQ,LIT,DFW,3,31,4,541,648,3541,MQ,DFW,BTR,3,31,4,1505,1629
1437525077296,3698,MQ,SGF,DFW,3,31,4,541,703,3541,MQ,DFW,BTR,3,31,4,1505,1629
3270408127704,3650,MQ,XNA,DFW,3,31,4,545,650,3541,MQ,DFW,BTR,3,31,4,1505,1629
2900871737990,3464,MQ,LRD,DFW,3,31,4,718,830,3541,MQ,DFW,BTR,3,31,4,1505,1629
7646496088153,3424,MQ,DAY,DFW,3,31,4,1024,1205,3541,MQ,DFW,BTR,3,31,4,1505,1629
6151606586824,3254,MQ,ACT,DFW,3,31,4,1056,1139,3541,MQ,DFW,BTR,3,31,4,1505,1629
6892543043425,3308,MQ,GRK,DFW,3,31,4,1203,1301,3541,MQ,DFW,BTR,3,31,4,1505,1629
1917075226271,3718,MQ,TYS,DFW,3,31,4,1225,1352,3541,MQ,DFW,BTR,3,31,4,1505,1629
5658257060465,3696,MQ,SGF,DFW,3,31,4,1238,1401,3541,MQ,DFW,BTR,3,31,4,1505,1629
6911285949302,3654,MQ,FSM,DFW,3,31,4,541,632,3541,MQ,DFW,BTR,3,31,4,1505,1629
4558706999085,3726,MQ,TUL,DFW,3,31,4,950,1056,3541,MQ,DFW,BTR,3,31,4,1505,1629
3459677699209,3588,MQ,DAY,DFW,3,31,4,1257,1432,3541,MQ,DFW,BTR,3,31,4,1505,1629
9053295563153,3382,MQ,OKC,DFW,3,31,4,1412,1459,3541,MQ,DFW,BTR,3,31,4,1505,1629
2360859581706,3550,MQ,SJT,DFW,3,31,4,645,736,3541,MQ,DFW,BTR,3,31,4,1505,1629
6795570166753,3740,MQ,TXK,DFW,3,31,4,651,746,3541,MQ,DFW,BTR,3,31,4,1505,1629
2475896878573,3646,MQ,SGF,DFW,3,31,4,659,832,3541,MQ,DFW,BTR,3,31,4,1505,1629
3620083616922,3562,MQ,MKE,DFW,3,31,4,918,1157,3541,MQ,DFW,BTR,3,31,4,1505,1629
2224259994486,3586,MQ,OKC,DFW,3,31,4,931,1023,3541,MQ,DFW,BTR,3,31,4,1505,1629
3840773512212,3456,MQ,MSP,DFW,3,31,4,1205,1421,3541,MQ,DFW,BTR,3,31,4,1505,1629
3216177182323,3310,MQ,LAW,DFW,3,31,4,1128,1222,3541,MQ,DFW,BTR,3,31,4,1505,1629
2673891506857,3644,MQ,GRR,DFW,3,31,4,1201,1346,3541,MQ,DFW,BTR,3,31,4,1505,1629
3318355692428,3502,MQ,HSV,DFW,3,31,4,1246,1449,3541,MQ,DFW,BTR,3,31,4,1505,1629
9424702659709,3202,MQ,LAW,DFW,3,31,4,1307,1402,3541,MQ,DFW,BTR,3,31,4,1505,1629
3771716485663,3782,MQ,TUL,DFW,3,31,4,1330,1436,3541,MQ,DFW,BTR,3,31,4,1505,1629
7898246133353,3242,MQ,SHV,DFW,3,31,4,1338,1440,3541,MQ,DFW,BTR,3,31,4,1505,1629
4821531977941,3484,MQ,PIA,DFW,3,31,4,616,820,3541,MQ,DFW,BTR,3,31,4,1505,1629
8756608182103,3414,MQ,GRK,DFW,3,31,4,814,901,3541,MQ,DFW,BTR,3,31,4,1505,1629
9642254343849,3208,MQ,ACT,DFW,3,31,4,828,917,3541,MQ,DFW,BTR,3,31,4,1505,1629
2500142500932,3662,MQ,SGF,DFW,3,31,4,1036,1155,3541,MQ,DFW,BTR,3,31,4,1505,1629
6351421147721,3566,MQ,CRP,DFW,3,31,4,1049,1155,3541,MQ,DFW,BTR,3,31,4,1505,1629
4010701674973,3574,MQ,HOU,DFW,3,31,4,618,726,3541,MQ,DFW,BTR,3,31,4,1505,1629
9180529850338,3806,MQ,CLT,DFW,3,31,4,628,816,3541,MQ,DFW,BTR,3,31,4,1505,1629
7912996549372,3442,MQ,XNA,DFW,3,31,4,655,800,3541,MQ,DFW,BTR,3,31,4,1505,1629
9671283517030,3482,MQ,MAF,DFW,3,31,4,659,805,3541,MQ,DFW,BTR,3,31,4,1505,1629
5720699602091,3622,MQ,CRP,DFW,3,31,4,755,910,3541,MQ,DFW,BTR,3,31,4,1505,1629
8386553843480,3284,MQ,CLL,DFW,3,31,4,814,938,3541,MQ,DFW,BTR,3,31,4,1505,1629
5533076121506,3554,MQ,OKC,DFW,3,31,4,1028,1115,3541,MQ,DFW,BTR,3,31,4,1505,1629
5721273869926,3808,MQ,CLT,DFW,3,31,4,1044,1250,3541,MQ,DFW,BTR,3,31,4,1505,1629
8326360894301,3628,MQ,TUL,DFW,3,31,4,1120,1227,3541,MQ,DFW,BTR,3,31,4,1505,1629
8540466567959,3564,MQ,GSO,DFW,3,31,4,601,752,3541,MQ,DFW,BTR,3,31,4,1505,1629
3282430017603,3725,MQ,AMA,DFW,3,31,4,733,836,3541,MQ,DFW,BTR,3,31,4,1505,1629
4269785542920,3214,MQ,SPS,DFW,3,31,4,823,925,3541,MQ,DFW,BTR,3,31,4,1505,1629
1561741313912,3558,MQ,MAF,DFW,3,31,4,1124,1236,3541,MQ,DFW,BTR,3,31,4,1505,1629
8678371572195,3738,MQ,CVG,DFW,3,31,4,1239,1422,3541,MQ,DFW,BTR,3,31,4,1505,1629
6487520181582,3270,MQ,SPS,DFW,3,31,4,646,728,3541,MQ,DFW,BTR,3,31,4,1505,1629
7134580266727,3376,MQ,GSO,DFW,3,31,4,1046,1300,3541,MQ,DFW,BTR,3,31,4,1505,1629
4209959347907,3410,MQ,IAH,DFW,3,31,4,1052,1156,3541,MQ,DFW,BTR,3,31,4,1505,1629
5931170242978,3790,MQ,DSM,DFW,3,31,4,1249,1452,3541,MQ,DFW,BTR,3,31,4,1505,1629
9203385449145,3796,MQ,GRR,DFW,3,31,4,549,741,3541,MQ,DFW,BTR,3,31,4,1505,1629
6522368117404,3750,MQ,JAN,DFW,3,31,4,609,732,3541,MQ,DFW,BTR,3,31,4,1505,1629
7417668448578,3496,MQ,CLE,DFW,3,31,4,822,1021,3541,MQ,DFW,BTR,3,31,4,1505,1629
3595369958010,3634,MQ,JAN,DFW,3,31,4,1043,1211,3541,MQ,DFW,BTR,3,31,4,1505,1629
4587121943937,3593,MQ,ICT,DFW,3,31,4,1220,1337,3541,MQ,DFW,BTR,3,31,4,1505,1629
3134462099447,3616,MQ,GSO,DFW,3,31,4,1243,1457,3541,MQ,DFW,BTR,3,31,4,1505,1629
7930837652255,3580,MQ,MEM,DFW,3,31,4,1313,1456,3541,MQ,DFW,BTR,3,31,4,1505,1629
6153807056987,3232,MQ,SPS,DFW,3,31,4,1356,1430,3541,MQ,DFW,BTR,3,31,4,1505,1629
7898429086824,3762,MQ,SHV,DFW,3,31,4,529,628,3541,MQ,DFW,BTR,3,31,4,1505,1629
4285088846772,3384,MQ,SJT,DFW,3,31,4,822,912,3541,MQ,DFW,BTR,3,31,4,1505,1629
1726285392930,3552,MQ,AMA,DFW,3,31,4,1028,1125,3541,MQ,DFW,BTR,3,31,4,1505,1629
6757618003053,3606,MQ,CLE,DFW,3,31,4,1254,1447,3541,MQ,DFW,BTR,3,31,4,1505,1629
6512252631106,3212,MQ,GRK,DFW,3,31,4,1343,1436,3541,MQ,DFW,BTR,3,31,4,1505,1629
7044562780356,3766,MQ,ABI,DFW,3,31,4,541,626,3541,MQ,DFW,BTR,3,31,4,1505,1629
6681816428639,3568,MQ,CRP,DFW,3,31,4,615,723,3541,MQ,DFW,BTR,3,31,4,1505,1629
2585316883654,3348,MQ,LAW,DFW,3,31,4,637,752,3541,MQ,DFW,BTR,3,31,4,1505,1629
6858083129236,3448,MQ,ABI,DFW,3,31,4,756,847,3541,MQ,DFW,BTR,3,31,4,1505,1629
6462933470786,3300,MQ,ABI,DFW,3,31,4,957,1057,3541,MQ,DFW,BTR,3,31,4,1505,1629
9151768750446,3332,MQ,TXK,DFW,3,31,4,1139,1256,3541,MQ,DFW,BTR,3,31,4,1505,1629
9232675811864,3420,MQ,GRK,DFW,3,31,4,1214,1310,3541,MQ,DFW,BTR,3,31,4,1505,1629
5118853988872,3758,MQ,GSP,DFW,3,31,4,1309,1452,3541,MQ,DFW,BTR,3,31,4,1505,1629
5362006958526,3734,MQ,MKE,DFW,3,31,4,543,815,3541,MQ,DFW,BTR,3,31,4,1505,1629
